id,country,name,city
180562,BE,vestiging Kinepolis naar keuze in België ,
180589,CA,Place Jean Béliveau,
180647,NZ,Arena Manawatu,
181065,HU,Fügeudvar,
181069,IT,Torino,
181235,UY,Open Park ,
181242,BE,Herkenrode Abbey,
181282,NZ,Tremain Feild,
181360,US,Red Hook Brooklyn,
181384,ES,auditori,
181461,NL,Hampshire boshotel ,
181470,DE,botrop skihal,
181479,AT,Altes Kino,
181585,ES,"Jaggy's techno culture",
181622,NL,Mariakapel Koudewater,
181631,BE,Boulevard André Delvaux 1,
181632,BE,"l'Imprimerie de la Banque Nationale",
181654,ES,Auditorio Abanca,
181714,ES,Calle del Conde Duque,
181734,HU,Napfényes Rendezvényterem,
181735,GB,Brunel Museum,
181820,DE,Maxhütte-Haidhof,
177741,NZ,Ātiu Creek Regional Park,
178116,GB,The Monastery ,
178202,NL,Café de Locomotief,
178609,BE,GC de zandloper,
179098,IT,Teatro Olimpico,
179169,ES,OCine Urban,
179183,NL,Cultura,
179241,ES,"Palau d'esports l'illa de Benidorm",
179260,GB,Drygate,
179833,IT,Under The Grand Chapiteau,
180049,NL,Het Mortelveld,
180473,ES,Pista de patinaje Madrid Rio,
180567,HU,MÁV Zenekar Próbaterem,
180627,ES,Skyfall Cocktail Club,
180883,NL,Eindhoven Concertzaal,
180945,CA,Soubois ,
180966,ES,Articus,
180992,BE,Hall Ceva,
180995,UY,Casa Mar ,
181034,GB,The Market Place,
181308,IE,North Wall Quay,
181383,NL,Pre-Reserved,
181389,NL,Freaky Piano Bar,
181419,GB,Basting house,
181427,NL,Wintercircus Hilversum,
181466,ES,Teatro Salesianos Santander ,
181492,HU,Pécsváradi Művelődési Központ,
181496,IT,Teatro Politeama,
181515,US,Greenwich House Theater,
181522,ES,Sala Jagger,
181531,GB,Loki,
181561,AU,Sydney Masonic Centre,
181611,ES,Sala-Museo Clan-Destino,
181700,NL,Helicopter,
181755,DE,Ballsporthalle,
181785,US,The Stanley hotel ,
181860,NL,Waalse Kerk Den Haag,
181962,DE,The Social Hub Berlin,
182024,NL,"Club Smithy's Palace",
182058,US,Colony,
182082,BE,Rio Club,
182084,ES," Jardines de Viveros - Carrer de Cavanilles, 1, ",
182092,SE,Arena Artica,
182174,NL,Elsom Reusel,
182290,IT,teatro secci,
182305,ES,Carpa Oeste,
182493,NL,Speelweide,
182670,NL,CT Oss,
185675,US,Golden Theatre,
186862,ES,Marmarela,
187490,ES,La daurada,
195026,BE,Gildenhuis,
195322,ES,Sala Sidecar,
196712,ES,Fundación mediterraneo,
3833,FR,Le Rocher de Palmer,Cenon
17616,NL,De Hofnar Aalten,
27209,NO,USF Verftet,
91632,AU,Ivy,
140275,NL,contactweg 68,
163015,DE,Freiheitshalle,
169195,BE,Plein Publiek Brussels,
178206,DE,Altes Postlager,
183353,IT,Teatro Diana,
194399,CH,Kraftwerk,
100088,NL,De Roode Leeuw,
157742,NL,Dominicuskerk,
180645,AD,GRANDVALIRA (PARKING EL CUBIL),
180321,IT,Teatro Nazionale CheBanca ,
160434,NL,Brouwerij Frontaal,
32436,GB,"Belgrade Theatre, Coventry",
138544,SE,Nöjesfabriken,
197657,BE,den dreef vorselaar,
170166,BE,Cultuurcentrum Evergem,
19711,GB,"St David's Hall",
3569,DE,Hanns-Martin-Schleyer-Halle,Stuttgart
16440,HU,Expresszó,
2137,NL,Theater Warenar,Wassenaar
83448,GB,Bolton Albert Halls,
149371,BE,Le Lac ,
150501,AU,Roundhouse,
182756,NL,The Oyster Club,
188141,NL,Sexyland World,
19719,GB,Royal & Derngate,
13295,PT,Coliseu do Porto,
5897,NL,De klinker,Winschoten
156801,AU,Ivy Pool Bar Sydney,
159704,SE,Hotel Rival,
172108,NL,De Meern,
22145,NL,Club Dauphine,
43873,GB,Manchester Central Convention Complex,
16215,GB,The Arch,
181712,IE,Hotel Doolin,
179787,GB,Greenworks,
2248,NL,Energiehuis,Dordrecht
11739,NL,Munttheater,
181908,NL,Another test venue,
28564,US,Great American Music Hall,
7339,NL,Oosterhout,Oosterhout
200204,BE,Cultuurhuis EMotia,
17068,NO,Folketeateret,
32380,DE,Starlight Express Theater,
168788,ES,Twenties,
48807,RO,Arenele Romane,
119111,SE,Kungliga Operan,
152430,AT,MBG Metastadt,
171433,ES,Plaza de toros de la Maestranza,
201391,NL,Farm in Diemen,
182144,DK,Kargo Bar & Club,
28287,ES,LAB Madrid,
10761,NL,Westerkerk,
16026,IT,Auditorium San Fedele,
24736,BE,Kunstencentrum Nona,
20125,GB,Queen Margarets Union,
20545,GB,Leeds Beckett Students Union,
26123,BE,Cultuurcentrum De Grote Post,
106574,BE,Centre Culturel de Woluwe-Saint-Pierre,
100078,NL,Nr.7even,
162836,ES,Almeria Teatre,
148163,GB,Westpoint Exeter,
145103,ES,Estación de Chamartín,
184809,ES,Sala El Sol,
178241,NL,De Schietclub,
199719,DE,Club Nachtflug Köln,
179089,BE,Dilbeek,
25436,GB,The Orchard Theatre,
105,NL,Huize Maas,Groningen
238,NL,Evenementenhal Gorinchem,Gorinchem
1211,BE,Spirito Brussels,Brussels
16874,HU,Hangvilla,
16639,GB,Liverpool Olympia,
14094,NL,Westlandtheater De Naald,
21068,DE,Groove Station,
40206,SE,Göteborgs Konserthus,
19798,GB,The Joiners,
31870,BE,Eden | Centre Culturel Régional De Charleroi,
9092,DE,Technikum,
22993,ES,Gran Teatre del Liceu,
11208,DE,Velodrom,
18535,ES,Sala X,
15971,BE,Rockerill,
16866,HU,Fezen Klub,
16124,HU,Pécsi Est,
19701,GB,De Montfort Hall,
31955,BE,Le Delta,
23009,ES,Teatro Principal Vitoria,
38585,BE,Futur,
38300,GB,Williamson Tunnels,
60945,CH,Viertel _Klub,
49081,HU,Budapesti Bábszínház,
79679,CH,Plaza Klub Zürich,
113254,CA,Théâtre Fairmount,
85656,GB,The Emporium - Coalville,
119002,CH,Théâtre du Léman,
119090,NL,Partycentrum Wijnand van Delft,
140252,BE,Stelplaats,
149455,GB,Gillian Lynne Theatre,
134796,HU,Turay Ida Színház,
156654,ES,Aquitania Teatre,
133653,NZ,Spark Arena,
144177,ES,Sala Mon Live,
149216,ES,Auditorio El Batel,
169890,NL,DS party- en eventcenter,
177142,DE,Roof 175,
178366,DE,Bellini,
195604,DE,Capitol Theater Düsseldorf ,
185526,CZ,Státní opera,
201975,ES,Palacio de los deportes,
183559,NL,Strand Noord 1,
184972,GB,The Lower Third,
32303,BE,Kasteel van Groot - Bijgaarden,
14143,IT,Arena del Mare,
566,NL,Club Champino,Drachten
9687,NL,Leeuwarden,
8617,DE,Sputnikhalle,
14564,CZ,Lucerna Velký sál,
25115,IE,The Sugar Club,
12709,GB,The Lexington,
132,NL,Ocean Diva Amsterdam,Amsterdam
451,NL,Het Klooster,Waalre
485,BE,De Mast,Torhout
761,NL,Club Sir Winston,Rijswijk
848,NL,BeachLine Beach,"'s-Gravenzande"
1250,BE,Cherrymoon,Lokeren
1431,NL,RDM Onderzeebootloods,Rotterdam
1658,NL,De Kroon,Amsterdam
1765,NL,Akhnaton,Amsterdam
2055,NL,Studio 21,Hilversum
2815,FR,Krakatoa,Mérignac
3600,NL,Lucent Danstheater,Den Haag
4100,FR,Comédie-Française,Paris
5308,DE,MS Connexion Complex,Mannheim
5880,NL,Domtoren,Utrecht
6025,NL,Pathé Schouwburgplein,Rotterdam
6221,NL,Beurs van Berlage,Amsterdam
6266,NL,Nieuwe Meer,Amsterdam
7547,NL,Tapperij de Beurs,Schijndel
7817,NL,The Rainbow,
8657,RS,"Novi Sad, Vojvodina",
10127,BE,The Grand Chapiteau,
10332,NL,Haarrijnseplas,
12620,NL,Amstelkerk,
13776,IT,Campovolo,
14434,FR,"Les Vivres de l'Art",
15089,DK,CASA Arena,
15834,NL,Markt,
15845,DE,Schlachtof Wiesbaden,
16397,NL,Kaatsheuvel,
17380,AU,Allianz Stadium,
17524,BE,Cultuurcentrum Belgica,
17618,CH,Schatzalp,
17672,ES,Family Club Oficial,
17747,GB,The Vaults,
17936,DE,Audi Dome,
18194,DE,Sea You Festival,
18311,BG,Arena Armeec,
18385,NL,Dot,
18533,MX,Zamna,
19665,ES,Palacio de los Deportes de La Rioja,
19677,CA,National Arts Centre/Centre national des Arts,
19780,GB,The Corn Exchange,
19802,GB,The Apex,
20082,BE,Shopping Stadsfeestzaal,
20209,NL,Edesche Concertzaal,
20700,NL,Brikke Oave,
20742,GB,Waterfront Hall Belfast,
21007,IE,Ballinlough Castle,
22125,NL,Karnaval Festival,
22286,US,Vulcan Gas Company,
22834,IT,Stadium Rimini,
22961,SE,Ullevi Stadium,
23806,US,Halcyon SF,
23965,BE,Fantasia Festival,
24055,US,Avalon Hollywood,
24156,CH,Zukunft,
24421,DK,Aarhus,
24935,CA,New City Gas,
25020,NL,Kinepolis,
25741,DE,Stadthalle Gersthofen,
26560,NL,Stelling,
27700,ES,Centro De Congresos,
27735,ES,Javea,
28160,US,Marquee New York,
28366,GB,"Y Not Festival, Pikehall",
28895,DE,Forum am Schlosspark,
30281,GB,Westpoint Arena,
30533,ES,"Pamplona, Spain",
31780,FR,"River's King",
37453,HU,"Siófok, Hungary",
37497,HU,Rába Part Sport- és Szabadidőcentrum,
42251,IT,Arcadia Cinema,
49795,FR,"Mains d'Œuvres",
50287,SE,Livrustkammaren,
55845,GB,Kings Place,
61193,ES,Teatro Cervantes,
62359,NO,Sentralen,
63739,NL,Broekdijk 6,
66557,SE,Stockholm Live,
66702,IE,Wigwam,
67007,BE,Spikkerelle Avelgem,
67730,SE,Löfbergs Arena,
71658,US,The Glass Factory,
76030,GB,Theatre Severn,
76708,IT,"Piazza Plebiscito, Napoli",
78537,CH,Stade de Genève,
82364,PT,Teatro Sá da Bandeira,
88296,CW,Jan Thiel Beach,
89021,GB,Glenavon Cookstown,
89174,DE,St. Pauli Theater,
91161,GB,meraki,
93048,PL,Arena Gdynia,
93308,ES,Sala Tirso,
106618,BE,Abdij Keizersberg,
107762,NL,Dans- en Partycentrum Rouwhorst,
113519,DE,Wilde Möhre Festival,
115778,NL,Veerkwartier,
116474,NL,De Kargadoor,
118593,DE,Residenz München,
118596,GB,"St. James's Church, 197 Piccadilly",
119297,BE,Bocholt,
123432,NL,CineCity,
123540,HU,Tárogató Úti Színpad,
132679,DE,Die Glocke,
